file_name,relative_path,suffix,size_kb,modified_at
.env,.env,,0.21,2026-05-22 17:06:06
.gitignore,.gitignore,,0.81,2026-05-23 03:40:45
quant_trading.db,data\quant_trading.db,.db,100.0,2026-05-18 14:18:49
.env.example,.env.example,.example,0.44,2026-05-18 18:55:41
quant_trading_lesson_1.ipynb,notebooks\quant_trading_lesson_1.ipynb,.ipynb,1806.58,2026-05-12 17:23:20
emergency_stop.json,safety\emergency_stop.json,.json,0.16,2026-05-19 17:23:22
README.md,README.md,.md,3.77,2026-05-18 18:30:25
broker_connection_plan.md,broker_connection_plan.md,.md,3.7,2026-05-14 14:44:29
deployment_checklist.md,deployment_checklist.md,.md,5.02,2026-05-14 18:59:41
ibkr_integration_plan.md,ibkr_integration_plan.md,.md,5.23,2026-05-18 18:29:19
ibkr_setup_checklist.md,ibkr_setup_checklist.md,.md,18.69,2026-05-27 02:51:51
post_deployment_test_checklist.md,post_deployment_test_checklist.md,.md,2.3,2026-05-16 17:32:09
secure_broker_architecture.md,secure_broker_architecture.md,.md,4.96,2026-05-23 03:20:44
streamlit_cloud_deployment.md,streamlit_cloud_deployment.md,.md,1.22,2026-05-16 16:41:21
app.py,app.py,.py,182.29,2026-05-27 02:49:48
app_backup_fix_broker_disconnect_indent_20260524_032612.py,app_backup_fix_broker_disconnect_indent_20260524_032612.py,.py,150.69,2026-05-24 03:26:12
app_backup_fix_broker_submission_block_20260524_031436.py,app_backup_fix_broker_submission_block_20260524_031436.py,.py,150.51,2026-05-24 03:14:36
app_backup_fix_broker_submission_block_20260524_031437.py,app_backup_fix_broker_submission_block_20260524_031437.py,.py,150.58,2026-05-24 03:14:37
app_backup_fix_broker_ticket_syntax_20260524_030757.py,app_backup_fix_broker_ticket_syntax_20260524_030757.py,.py,150.51,2026-05-24 03:07:57
app_backup_fix_except_finally_indent_20260524_032828.py,app_backup_fix_except_finally_indent_20260524_032828.py,.py,150.7,2026-05-24 03:28:28
app_backup_fix_nested_state_tracking_try_20260524_032022.py,app_backup_fix_nested_state_tracking_try_20260524_032022.py,.py,150.58,2026-05-24 03:20:22
app_backup_portfolio_metric_20260522_183110.py,app_backup_portfolio_metric_20260522_183110.py,.py,131.02,2026-05-22 18:31:10
app_backup_position_snapshot_connection_20260524_212643.py,app_backup_position_snapshot_connection_20260524_212643.py,.py,157.68,2026-05-24 21:26:43
app_backup_rebuild_broker_submit_block_20260524_033051.py,app_backup_rebuild_broker_submit_block_20260524_033051.py,.py,150.7,2026-05-24 03:30:51
